package,status,kali_categories,domain,summary
python2,installable-missing,none-detected,general-ops,interactive high-level object-oriented language (Python2 version)
python2-dbg,installable-missing,none-detected,general-ops,debug build of the Python2 interpreter (version 2.7)
python2-dev,installable-missing,none-detected,development-support,header files and a static library for Python2
python2-doc,installable-missing,none-detected,development-support,documentation for the high-level object-oriented language Python2
python2-minimal,installable-missing,none-detected,general-ops,minimal subset of the Python2 language
python-faraday,installable-missing,none-detected,general-ops,Collaborative Penetration Test IDE
faraday,installed,kali-reporting-tools;kali-system-services,general-ops,Collaborative Penetration Test IDE
python-ldapdomaindump,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-ldapdomaindump,installed,none-detected,general-ops,Active Directory information dumper via LDAP (Python 3)
python-pip,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-pip,installed,none-detected,general-ops,Python package installer
python3-pip-whl,installed,none-detected,general-ops,Python package installer (pip wheel)
python-pipx,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
pipx,installed,none-detected,general-ops,execute binaries from Python packages in isolated environments
python-virtualenv,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-virtualenv,installed,none-detected,general-ops,Python virtual environment creator
virtualenv,installable-missing,none-detected,general-ops,Python virtual environment creator (Dependency package)
qemu,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
qemu-block-extra,installable-missing,none-detected,general-ops,extra block backend modules for qemu-system and qemu-utils
qemu-guest-agent,installable-missing,none-detected,general-ops,Guest-side qemu-system agent
qemu-system,installable-missing,none-detected,general-ops,QEMU full system emulation binaries
qemu-system-arm,installable-missing,none-detected,general-ops,QEMU full system emulation binaries (arm)
qemu-system-common,installed,none-detected,general-ops,QEMU full system emulation binaries (common files)
qemu-system-data,installed,none-detected,general-ops,QEMU full system emulation (data files)
qemu-system-gui,installable-missing,none-detected,general-ops,QEMU full system emulation binaries (graphical display and audio modules)
qemu-system-mips,installable-missing,none-detected,general-ops,QEMU full system emulation binaries (mips)
qemu-system-misc,installable-missing,none-detected,general-ops,QEMU full system emulation binaries (miscellaneous)
qsslcaudit,installed,none-detected,defensive-monitoring,test SSL/TLS clients how secure they are
quark-engine,installed,none-detected,general-ops,Android Malware (Analysis | Scoring System)
radare2,installed,kali-resource-development,reverse-fuzzing,free and advanced command line hexadecimal editor
libradare2-6.0.0t64,installed,none-detected,reverse-fuzzing,libraries from the radare2 suite
libradare2-common,installed,none-detected,reverse-fuzzing,arch independent files from the radare2 suite
libradare2-dev,installable-missing,none-detected,reverse-fuzzing,devel files from the radare2 suite
rainbowcrack,installed,none-detected,credential-access,Rainbow table password cracker
rake,installed,none-detected,general-ops,ruby make-like utility
rarcrack,installed,none-detected,credential-access,Password cracker for rar archives
raven,installed,none-detected,web-app,Python tool that extends the capabilities of the http.server Python module
rcracki-mt,installed,none-detected,general-ops,Version of rcrack that supports hybrid and indexed tables
rdesktop,installed,kali-lateral-movement,general-ops,RDP client for Windows NT/2000 Terminal Server and Windows Servers
readpe,installed,none-detected,general-ops,command-line tools to manipulate Windows PE files
libpe-dev,installable-missing,none-detected,development-support,library to read Windows PE files (development files)
libpe1t64,installed,none-detected,development-support,library to read Windows PE files
reaver,installed,kali-wifi;kali-wifi-credential-access,wireless-rf,brute force attack tool against Wi-Fi Protected Setup PIN number
rebind,installed,kali-initial-access,general-ops,DNS rebinding tool
recon-ng,installed,kali-reconnaissance;kali-web-scanning,reconnaissance,Web Reconnaissance framework written in Python
reconspider,installed,none-detected,reconnaissance,"OSINT Framework for scanning IP Address, Emails, Websites, Organizations"
recordmydesktop,installed,kali-reporting-tools,general-ops,Captures audio-video data of a Linux desktop session
recoverdm,installed,none-detected,forensics-ir,recover files on disks with damaged sectors
recoverjpeg,installed,none-detected,forensics-ir,recover JFIF (JPEG) pictures and MOV movies
redeye,installed,none-detected,general-ops,tool to help you manage your data during a pentest operation
redfang,installed,none-detected,wireless-rf,Locates non-discoverable bluetooth devices
redsnarf,installed,none-detected,wireless-rf,Pentesting tool for retrieving credentials from Windows workstations
redsocks,installed,none-detected,web-app,arbitrary TCP connection redirector to a SOCKS or HTTPS proxy server
reglookup,installed,none-detected,general-ops,utility to analysis for Windows NT-based registry
libregfi-dev,installable-missing,none-detected,development-support,utility to analysis for Windows NT-based registry (devel files)
libregfi1t64,installed,none-detected,development-support,utility to analysis for Windows NT-based registry (shared library)
python3-pyregfi,installed,none-detected,general-ops,Python 3 Bindings for reglookup
reglookup-doc,installable-missing,none-detected,development-support,developer documentation for libregfi and python-pyregfi
regripper,installed,none-detected,wireless-rf,perform forensic analysis of registry hives
rekono-kbx,installable-missing,none-detected,general-ops,automation platform for pentesting
rephrase,installed,none-detected,forensics-ir,Specialized passphrase recovery tool for GnuPG
requests,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python-requests-doc,installable-missing,none-detected,web-app,elegant and simple HTTP library for Python (Documentation)
python3-requests,installed,none-detected,web-app,"elegant and simple HTTP library for Python3, built for human beings"
responder,installed,kali-credential-access,credential-access,LLMNR/NBT-NS/mDNS Poisoner
rev-proxy-grapher,installed,none-detected,reverse-fuzzing,Reverse proxy grapher
rfcat,installed,none-detected,wireless-rf,Swiss army knife of sub-GHz radio
rfdump,installed,none-detected,wireless-rf,tool to decode RFID tag data
ridenum,installed,none-detected,general-ops,Null session RID cycle attack tool
rifiuti,installed,none-detected,general-ops,MS Windows recycle bin analysis tool
rifiuti2,installed,none-detected,general-ops,"replacement for rifiuti, a MS Windows recycle bin analysis tool"
rizin,installed,none-detected,reverse-fuzzing,reverse engineering framework and command-line toolset
librizin-common,installed,none-detected,general-ops,arch independent files from the Rizin suite
librizin-dev,installable-missing,none-detected,development-support,devel files from the Rizin suite
librizin0,installed,none-detected,general-ops,libraries from the Rizin suite
rizin-cutter,installed,none-detected,reverse-fuzzing,reverse engineering platform powered by rizin
librizin-cutter-dev,installable-missing,none-detected,development-support,development files to build cutter plugins
rkhunter,installed,none-detected,exploitation-c2,"rootkit, backdoor, sniffer and exploit scanner"
rling,installed,none-detected,general-ops,better rli
robotstxt,installed,none-detected,general-ops,robots.txt exclusion protocol implementation for Go language
golang-github-temoto-robotstxt-dev,installable-missing,none-detected,development-support,robots.txt exclusion protocol implementation for Go language
ropper,installed,none-detected,reverse-fuzzing,rop gadget finder and binary information tool
routerkeygenpc,installed,none-detected,wireless-rf,Router Keygen generate default WPA/WEP keys
routersploit,installed,none-detected,exploitation-c2,Exploitation Framework for Embedded Devices
rsakeyfind,installed,none-detected,general-ops,locates BER-encoded RSA private keys in memory images
rsmangler,installed,kali-password-profiling-wordlists,credential-access,Wordlist mangling tool
rtpbreak,installed,none-detected,reconnaissance,"Detects, reconstructs, and analyzes RTP sessions"
rtpflood,installed,none-detected,general-ops,Tool to flood any RTP device
rtpinsertsound,installed,none-detected,general-ops,Inserts audio into a specified stream
rtpmixsound,installed,none-detected,general-ops,Mixes pre-recorded audio in real-time
rubeus,installed,none-detected,credential-access,Raw Kerberos interaction and abuses
ruby-pedump,installed,none-detected,general-ops,dump win32 PE executable files with a pure ruby
rz-ghidra,installed,none-detected,reverse-fuzzing,ghidra decompiler and sleigh disassembler for rizin
s3scanner,installed,none-detected,general-ops,tool to find open S3 buckets and dump their contents
safecopy,installed,none-detected,forensics-ir,data recovery tool for problematic or damaged media
sakis3g,installed,none-detected,general-ops,Tool for establishing 3G connections
samba,installed,none-detected,general-ops,"SMB/CIFS file, print, and login server for Unix"
ctdb,installable-missing,none-detected,general-ops,clustered database to store temporary data
ldb-tools,installable-missing,none-detected,general-ops,LDAP-like embedded database - tools
libldb-dev,installable-missing,none-detected,development-support,LDAP-like embedded database - development files
libldb2,installed,none-detected,development-support,LDAP-like embedded database - shared library
libnss-winbind,installable-missing,none-detected,general-ops,Samba nameservice integration plugins
libpam-winbind,installable-missing,none-detected,general-ops,Windows domain authentication integration plugin
libsmbclient,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libsmbclient-dev,installable-missing,none-detected,development-support,development files for libsmbclient
libsmbclient0,installed,none-detected,development-support,shared library for communication with SMB/CIFS servers
libtalloc-dev,installable-missing,none-detected,development-support,hierarchical pool based memory allocator - development files
libtalloc2,installed,none-detected,exploitation-c2,hierarchical pool based memory allocator
libtdb-dev,installable-missing,none-detected,development-support,Trivial Database - development files
libtdb1,installed,none-detected,development-support,Trivial Database - shared library
libtevent-dev,installable-missing,none-detected,development-support,talloc-based event loop library - development files
libtevent0,installable-missing,none-detected,general-ops,No package metadata available on current APT snapshot.
libtevent0t64,installed,none-detected,development-support,talloc-based event loop library - shared library
libwbclient-dev,installable-missing,none-detected,development-support,Samba winbind client library - development files
libwbclient0,installed,none-detected,development-support,Samba winbind client library
python3-ldb,installed,none-detected,general-ops,Python 3 bindings for LDB
python3-samba,installed,none-detected,general-ops,Python 3 bindings for Samba
python3-talloc,installed,none-detected,general-ops,hierarchical pool based memory allocator - Python3 bindings
python3-tdb,installed,none-detected,general-ops,Python3 bindings for TDB
registry-tools,installable-missing,none-detected,general-ops,tools for viewing and manipulating the Windows registry
samba-ad-dc,installable-missing,none-detected,general-ops,Samba control files to run AD Domain Controller
samba-ad-provision,installable-missing,none-detected,general-ops,Samba files needed for AD domain provision
samba-common,installed,none-detected,general-ops,common files used by both the Samba server and client
samba-common-bin,installed,none-detected,general-ops,Samba common files used by both the server and the client
samba-dev,installable-missing,none-detected,development-support,tools for extending Samba
samba-dsdb-modules,installable-missing,none-detected,general-ops,Samba Directory Services Database
samba-libs,installed,none-detected,general-ops,Samba core libraries
samba-testsuite,installable-missing,none-detected,general-ops,test suite from Samba
samba-vfs-ceph,installable-missing,none-detected,general-ops,Samba Virtual FileSystem ceph modules
samba-vfs-glusterfs,installable-missing,none-detected,wireless-rf,Samba Virtual FileSystem glusterfs modules
samba-vfs-modules,installable-missing,none-detected,general-ops,Samba Virtual FileSystem plugins (transitional package)
smbclient,installed,kali-application-layer-protocol;kali-network-share-discovery,general-ops,command-line SMB/CIFS clients for Unix
tdb-tools,installed,none-detected,general-ops,Trivial Database - bundled binaries
winbind,installable-missing,none-detected,general-ops,service to resolve user and group information from Windows NT servers
samdump2,installed,kali-os-credential-dumping,credential-access,Dump Windows 2k/NT/XP password hashes
sara,installed,none-detected,general-ops,RouterOS Security Inspector
sbd,installed,kali-non-application-layer-protocol,general-ops,Secure backdoor for Linux and Windows
scalpel,installed,kali-forensic-carving-tools,forensics-ir,fast filesystem-independent file recovery
scapy,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-scapy,installed,kali-impact;kali-network-sniffing,general-ops,Packet generator/sniffer and network scanner/discovery (Python 3)
screen,installed,none-detected,general-ops,terminal multiplexer with VT100/ANSI terminal emulation
screen-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
scrounge-ntfs,installed,kali-forensic-carving-tools;kali-recover,forensics-ir,Data recovery program for NTFS filesystems
sctpscan,installed,none-detected,general-ops,SCTP network scanner for discovery and security
seclists,installed,none-detected,general-ops,Collection of multiple types of security lists
secure-socket-funneling,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
secure-socket-funneling-windows-binaries,installed,none-detected,general-ops,SSF - windows binaries
sendemail,installed,none-detected,general-ops,"lightweight, command line SMTP email client"
sentrypeer,installed,none-detected,general-ops,SIP peer to peer honeypot for VoIP
set,installed,kali-initial-access,general-ops,Social-Engineer Toolkit
sfuzz,installed,none-detected,reverse-fuzzing,Black Box testing utilities
sharphound,installed,none-detected,general-ops,C# Data Collector for BloodHound
sharpshooter,installed,none-detected,general-ops,Payload Generation Framework
shed,installed,none-detected,wireless-rf,simple hex editor with a pico-style interface
shellfire,installed,none-detected,wireless-rf,"exploiting LFI, RFI, and command injection vulnerabilities"
shellnoob,installed,none-detected,general-ops,Shellcode writing toolkit
shellter,installed,none-detected,general-ops,Dynamic shellcode injection tool and dynamic PE infector
sherlock,installed,none-detected,general-ops,Find usernames across social networks
sickle-pdk,installed,none-detected,general-ops,Payload development kit
sidguesser,installed,none-detected,defensive-monitoring,Guesses sids against an Oracle database
siege,installed,none-detected,web-app,HTTP regression testing and benchmarking utility
sigma-cli,installed,none-detected,wireless-rf,Sigma command line interface
silenttrinity,installed,none-detected,exploitation-c2,"asynchronous, collaborative post-exploitation agent"
siparmyknife,installed,none-detected,reverse-fuzzing,SIP fuzzing tool
sipcrack,installed,none-detected,general-ops,SIP login dumper/cracker
sipp,installed,none-detected,general-ops,Traffic generator for the SIP protocol
sippts,installed,none-detected,defensive-monitoring,Set of tools to audit SIP based VoIP Systems
sipsak,installed,none-detected,general-ops,SIP Swiss army knife
sipvicious,installed,none-detected,defensive-monitoring,tools to audit SIP based VoIP systems
skipfish,installed,kali-web-vulnerability-scanning,reconnaissance,"fully automated, active web application security reconnaissance tool"
sleuthkit,installed,kali-respond;kali-sleuth-kit-suite,forensics-ir,tools for forensics analysis on volume and filesystem data
libsleuthkit-java,installable-missing,none-detected,forensics-ir,Java Bindings for SleuthKit
libsleuthkit-jni,installable-missing,none-detected,wireless-rf,Java native interface for SleuthKit
libtsk-dev,installable-missing,none-detected,forensics-ir,library for forensics analysis (development files)
libtsk23,installed,none-detected,forensics-ir,library for forensics analysis on volume and filesystem data
slimtoolkit,installed,none-detected,cloud-container,optimization of your containers
sliver,installed,none-detected,exploitation-c2,Implant framework
slowhttptest,installed,none-detected,web-app,application layer Denial of Service attacks simulation tool
smbmap,installed,kali-network-share-discovery;kali-pass-the-hash,general-ops,handy SMB enumeration tool
smtp-user-enum,installed,kali-account-discovery;kali-smtp,general-ops,Username guessing tool for the SMTP service
sn0int,installed,none-detected,general-ops,Semi-automatic OSINT framework and package manager
sniffjoke,installed,none-detected,general-ops,Transparent TCP connection scrambler
snmpcheck,installed,kali-snmp,general-ops,SNMP service enumeration tool
snmpenum,installed,none-detected,general-ops,SNMP tabledump
snort,installed,none-detected,defensive-monitoring,flexible Network Intrusion Detection System
snort-common,installed,none-detected,defensive-monitoring,flexible Network Intrusion Detection System - common files
snort-common-libraries,installed,none-detected,defensive-monitoring,flexible Network Intrusion Detection System - libraries
snort-doc,installable-missing,none-detected,defensive-monitoring,flexible Network Intrusion Detection System - documentation
snort-rules-default,installed,none-detected,defensive-monitoring,flexible Network Intrusion Detection System - ruleset
snowdrop,installed,none-detected,forensics-ir,plain text watermarking and watermark recovery
socat,installed,kali-non-application-layer-protocol,general-ops,multipurpose relay for bidirectional data transfer
sparrow-wifi,installed,none-detected,wireless-rf,Graphical Wi-Fi Analyzer for Linux
spiderfoot,installed,kali-host-information;kali-identify,reconnaissance,OSINT collection and reconnaissance tool
spike,installed,kali-resource-development,reverse-fuzzing,Network protocol fuzzer
spire,installed,none-detected,general-ops,toolchain of APIs for establishing trust between software systems
sploitscan,installed,none-detected,general-ops,Search for CVE information
spooftooph,installed,kali-bluetooth,wireless-rf,Automates spoofing or cloning Bluetooth devices
spray,installed,none-detected,credential-access,Password Spraying tool for Active Directory Credentials
sprayhound,installed,none-detected,credential-access,Password spraying tool and Bloodhound integration
sprayingtoolkit,installed,none-detected,credential-access,"Scripts to make password spraying attacks against Lync/S4B, OWA & O365"
spraykatz,installed,none-detected,credential-access,tool able to retrieve credentials on Windows machines
sqldict,installed,none-detected,general-ops,Dictionary attack tool for SQL Server
sqlitebrowser,installed,none-detected,general-ops,GUI editor for SQLite databases
sqlmap,installed,kali-initial-access,web-app,automatic SQL injection tool
sqlmc,installed,none-detected,general-ops,Check all urls of a domain for SQL injections
sqlninja,installed,none-detected,general-ops,SQL server injection and takeover tool
sqlsus,installed,none-detected,general-ops,MySQL injection tool
ssdeep,installed,none-detected,general-ops,recursive piecewise hashing tool
libfuzzy-dev,installable-missing,none-detected,reverse-fuzzing,recursive piecewise hashing tool (development headers)
libfuzzy2,installable-missing,none-detected,reverse-fuzzing,recursive piecewise hashing tool (library)
sshuttle,installed,none-detected,general-ops,Transparent proxy server for VPN over SSH
ssldump,installed,kali-collection,general-ops,SSLv3/TLS network protocol analyzer
sslh,installed,kali-protocol-tunneling,general-ops,Applicative protocol multiplexer
sslscan,installed,kali-ssl-tls,general-ops,Tests SSL/TLS enabled services to discover supported cipher suites
sslsniff,installed,none-detected,general-ops,SSL/TLS man-in-the-middle attack tool
sslsplit,installed,kali-collection,general-ops,transparent and scalable SSL/TLS interception
sslstrip,installed,none-detected,general-ops,SSL/TLS man-in-the-middle attack tool
sslyze,installed,kali-ssl-tls,general-ops,Fast and full-featured SSL scanner
sstimap,installed,none-detected,wireless-rf,Automatic SSTI detection tool with interactive interface
starkiller,installed,kali-command-and-control;kali-system-services,exploitation-c2,Frontend for Powershell Empire
statsprocessor,installed,none-detected,general-ops,word generator based on per-position Markov chains
stegcracker,installed,none-detected,general-ops,steganography brute-force tool
steghide,installed,none-detected,general-ops,steganography hiding tool
steghide-doc,installable-missing,none-detected,development-support,steganography hiding tool - documentation files
stegosuite,installed,none-detected,crypto-stego,steganography tool to hide information in image files
stegsnow,installed,none-detected,general-ops,steganography using ASCII files
stunnel4,installed,kali-protocol-tunneling,general-ops,Universal SSL tunnel for network daemons
subfinder,installed,none-detected,general-ops,subdomain discovery tool
subjack,installed,none-detected,general-ops,Subdomain Takeover tool
sublist3r,installed,none-detected,general-ops,Fast subdomains enumeration tool for penetration testers
subversion,installed,none-detected,general-ops,Advanced version control system
libapache2-mod-svn,installable-missing,none-detected,web-app,Apache Subversion server modules for Apache httpd
libsvn-dev,installable-missing,none-detected,development-support,Development files for Apache Subversion libraries
libsvn-doc,installable-missing,none-detected,development-support,Developer documentation for libsvn
libsvn-java,installable-missing,none-detected,general-ops,Java bindings for Apache Subversion
libsvn-perl,installable-missing,none-detected,general-ops,Perl bindings for Apache Subversion
libsvn1,installed,none-detected,general-ops,Shared libraries used by Apache Subversion
python3-subversion,installable-missing,none-detected,general-ops,Python3 bindings for Apache Subversion
ruby-svn,installable-missing,none-detected,general-ops,Ruby bindings for Apache Subversion
subversion-tools,installable-missing,none-detected,general-ops,Assorted tools related to Apache Subversion
sucrack,installed,none-detected,general-ops,multithreaded su bruteforcer
sudo,installed,none-detected,general-ops,Provide limited super user privileges to specific users
libnss-sudo,installable-missing,none-detected,general-ops,Transitional Package - libnss-sudo has been removed
sudo-ldap,installable-missing,none-detected,general-ops,Transitional Package - sudo-ldap has been removed
swaks,installed,kali-smtp,general-ops,SMTP command-line test tool
syft,installed,none-detected,cloud-container,CLI tool for generating a SBOM from container images and filesystems
t50,installed,none-detected,general-ops,Multi-protocol packet injector tool
tcpdump,installed,kali-discovery;kali-network-sniffing,general-ops,command-line network traffic analyzer
tcpflow,installed,none-detected,general-ops,TCP flow recorder
tcpflow-nox,installable-missing,none-detected,general-ops,TCP flow recorder - version without X11 dependencies
tcpick,installed,none-detected,general-ops,TCP stream sniffer and connection tracker
tcpreplay,installed,kali-network-security-appliances,general-ops,Tool to replay saved tcpdump files at arbitrary speeds
teamsploit,installed,none-detected,general-ops,Tools for group based penetration testing
termineter,installed,none-detected,general-ops,Smart meter testing framework
terraform,installed,none-detected,general-ops,"tool for building, changing, and versioning infrastructure"
testdisk,installed,kali-forensic-carving-tools,forensics-ir,"Partition scanner and disk recovery tool, and PhotoRec file recovery tool"
testssl.sh,installed,none-detected,cloud-container,"Command line tool to check TLS/SSL ciphers, protocols and cryptographic flaws"
tetragon,installed,none-detected,general-ops,eBPF-based Security Observability and Runtime Enforcement (tetra CLI)
tftp-hpa,installed,none-detected,general-ops,HPA's tftp client
tftpd-hpa,installable-missing,none-detected,general-ops,HPA's tftp server
tftpd32,installed,none-detected,general-ops,Open source ipv6-ready TFTP server for Windows
thc-ipv6,installed,kali-remote-system-discovery,general-ops,The Hacker Choice's IPv6 Attack Toolkit
thc-pptp-bruter,installed,kali-brute-force,general-ops,THC PPTP Brute Force
thc-ssl-dos,installed,none-detected,general-ops,Stress tester for the SSL handshake
theharvester,installed,kali-network-information,reconnaissance,tool for gathering e-mail accounts and subdomain names from public sources
tiger,installed,none-detected,defensive-monitoring,security auditing and intrusion detection tools for Linux
tiger-otheros,installable-missing,none-detected,defensive-monitoring,security auditing and intrusion detection scripts for Unix based systems
tightvnc,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
tightvncpasswd,installed,none-detected,credential-access,virtual network computing password tool
tightvncserver,installed,none-detected,general-ops,virtual network computing server software
xtightvncviewer,installed,none-detected,general-ops,virtual network computing client software for X
tinja,installed,none-detected,web-app,CLI tool for testing web pages for template injection
tlssled,installed,none-detected,web-app,Evaluates the security of a target SSL/TLS (HTTPS) server
tmux,installed,none-detected,general-ops,terminal multiplexer
tnftp,installed,none-detected,general-ops,enhanced ftp client
ftp,installed,none-detected,general-ops,dummy transitional package for tnftp
tnscmd10g,installed,none-detected,general-ops,Tool to prod the oracle tnslsnr process
traceroute,installed,none-detected,general-ops,Traces the route taken by packets over an IPv4/IPv6 network
trivy,installed,none-detected,general-ops,comprehensive and versatile security scanner
truecrack,installed,none-detected,credential-access,Bruteforce password cracker for TrueCrypt volumes
trufflehog,installed,none-detected,general-ops,Searches through git repositories for secrets
tundeep,installed,none-detected,general-ops,Layer 2 VPN/injection tool
twofi,installed,none-detected,general-ops,Twitter words of interest
tzdata,installed,none-detected,general-ops,time zone and daylight-saving time data
tzdata-legacy,installed,none-detected,general-ops,time zone data for TAI minus ten seconds
ubertooth,installed,none-detected,wireless-rf,2.4 GHz wireless development platform for Bluetooth experimentation
libubertooth-dev,installable-missing,none-detected,wireless-rf,Shared library for Bluetooth experimentation - development files
libubertooth1,installed,none-detected,wireless-rf,Shared library for Bluetooth experimentation
ubertooth-firmware,installable-missing,none-detected,general-ops,Firmware for Ubertooth
ubertooth-firmware-source,installable-missing,none-detected,general-ops,Source code for the Ubertooth firmware
udptunnel,installed,kali-protocol-tunneling,general-ops,tunnel UDP packets over a TCP connection
uhd,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libuhd-dev,installable-missing,none-detected,development-support,universal hardware driver for Ettus Research products - headers
libuhd4.9.0,installed,none-detected,development-support,universal hardware driver for Ettus Research products - library
libuhd4.9.0-dpdk,installable-missing,none-detected,general-ops,universal hardware driver for Ettus Research products - DPDK
libuhd4.9.0-dpdk-tests,installable-missing,none-detected,general-ops,universal hardware driver for Ettus Research products - DPDK tests
python3-uhd,installed,none-detected,general-ops,universal hardware driver for Ettus Research products - Python3
uhd-doc,installable-missing,none-detected,development-support,universal hardware driver for Ettus Research products - doc
uhd-host,installed,none-detected,general-ops,universal hardware driver for Ettus Research products - host apps
uhd-rfnoc-dev,installable-missing,none-detected,wireless-rf,universal hardware driver for Ettus Research products - rfnoc-dev
uhd-images,installed,none-detected,general-ops,Various UHD Images
unar,installable-missing,none-detected,general-ops,Unarchiver for a variety of file formats
unblob,installed,none-detected,general-ops,"accurate, fast, and easy-to-use extraction suite (Python 3)"
undbx,installed,none-detected,forensics-ir,"tool to extract, recover and undelete e-mail messages from .dbx files"
unhide,installed,none-detected,forensics-ir,forensic tool to find hidden processes and ports
unhide-gui,installable-missing,none-detected,wireless-rf,graphical user interface for unhide
unhide.rb,installed,none-detected,forensics-ir,Forensics tool to find processes hidden by rootkits
unicorn-magic,installed,none-detected,general-ops,Tool for a PowerShell downgrade attack and inject shellcode
unicornscan,installed,kali-network-information;kali-network-service-discovery,general-ops,Userland distributed TCP/IP stack
uniscan,installed,none-detected,wireless-rf,"LFI, RFI, and RCE vulnerability scanner"
unix-privesc-check,installed,kali-privilege-escalation,general-ops,Script to check for simple privilege escalation vectors
unrar-nonfree,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libunrar-dev,installable-missing,none-detected,development-support,Unarchiver for .rar files (non-free version) - development files
libunrar-headers,installable-missing,none-detected,development-support,Unarchiver for .rar files (non-free version) - development header files
libunrar5t64,installable-missing,none-detected,development-support,Unarchiver for .rar files (non-free version) - shared library
unrar,installed,none-detected,general-ops,Unarchiver for .rar files (non-free version)
upx-ucl,installed,none-detected,general-ops,efficient live-compressor for executables
urlcrazy,installed,none-detected,general-ops,Domain typo generator
util-linux,installed,none-detected,general-ops,miscellaneous system utilities
bsdextrautils,installed,none-detected,general-ops,extra utilities from 4.4BSD-Lite
bsdutils,installed,none-detected,general-ops,basic utilities from 4.4BSD-Lite
eject,installable-missing,none-detected,general-ops,ejects CDs and operates CD-Changers under Linux
eject-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
fdisk,installable-missing,none-detected,general-ops,collection of partitioning utilities
fdisk-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
lastlog2,installable-missing,none-detected,general-ops,Read lastlog2 database
libblkid-dev,installed,none-detected,development-support,block device ID library - headers
libblkid1,installed,none-detected,development-support,block device ID library
libblkid1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libfdisk-dev,installable-missing,none-detected,development-support,fdisk partitioning library - headers
libfdisk1,installable-missing,none-detected,development-support,fdisk partitioning library
libfdisk1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
liblastlog2-2,installed,none-detected,development-support,lastlog2 database shared library
liblastlog2-dev,installable-missing,none-detected,development-support,liblastlog2 development files
libmount-dev,installed,none-detected,development-support,device mounting library - headers
libmount1,installed,none-detected,development-support,device mounting library
libmount1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libpam-lastlog2,installable-missing,none-detected,general-ops,lastlog2 database PAM module
libsmartcols-dev,installable-missing,none-detected,development-support,smart column output alignment library - headers
libsmartcols1,installed,none-detected,development-support,smart column output alignment library
libsmartcols1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libuuid1,installed,none-detected,development-support,Universally Unique ID library
libuuid1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
login,installed,none-detected,general-ops,system login tools
mount,installed,none-detected,general-ops,tools for mounting and manipulating filesystems
rfkill,installed,none-detected,wireless-rf,tool for enabling and disabling wireless devices
util-linux-extra,installed,none-detected,general-ops,interactive login tools
util-linux-locales,installable-missing,none-detected,general-ops,locales files for util-linux
util-linux-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
uuid-dev,installed,none-detected,development-support,Universally Unique ID library - headers and static libraries
uuid-runtime,installed,none-detected,development-support,runtime components for the Universally Unique ID library
vboot-utils,installed,none-detected,general-ops,Chrome OS verified u-boot utilities
cgpt,installed,none-detected,general-ops,GPT manipulation tool with support for Chromium OS extensions
vboot-kernel-utils,installed,none-detected,general-ops,Chrome OS verified boot utils required to sign kernels
veil,installed,none-detected,general-ops,Generates payloads to bypass anti-virus solutions
veil-catapult,installable-missing,none-detected,general-ops,transitional package for veil
veil-evasion,installable-missing,none-detected,general-ops,transitional package for veil
villain,installed,none-detected,exploitation-c2,High level C2 framework
vim,installable-missing,none-detected,general-ops,Vi IMproved - enhanced vi editor
vim-common,installed,none-detected,general-ops,Vi IMproved - Common files
vim-doc,installable-missing,none-detected,development-support,Vi IMproved - HTML documentation
vim-gtk3,installed,none-detected,general-ops,Vi IMproved - enhanced vi editor - with GTK3 GUI
vim-gui-common,installed,none-detected,general-ops,Vi IMproved - Common GUI files
vim-motif,installable-missing,none-detected,general-ops,Vi IMproved - enhanced vi editor - with Motif GUI
vim-nox,installable-missing,none-detected,general-ops,Vi IMproved - enhanced vi editor - with scripting languages support
vim-runtime,installed,none-detected,general-ops,Vi IMproved - Runtime files
