package,status,kali_categories,domain,summary,when_to_use,offensive_use_case,defensive_use_case,general_use_case
beef-xss,installed,none-detected,web-app,Browser Exploitation Framework (BeEF),"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
bettercap-ui,installed,none-detected,web-app,bettercap's web UI,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
cadaver,installed,kali-application-layer-protocol,web-app,command-line WebDAV client,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
chisel,installed,none-detected,web-app,fast TCP/UDP tunnel over HTTP (program),"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
chromium,installed,none-detected,web-app,web browser,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
chromium-common,installed,none-detected,web-app,web browser - common resources used by the chromium packages,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
chromium-driver,installed,none-detected,web-app,web browser - WebDriver support,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
chromium-headless-shell,installed,none-detected,web-app,web browser - old headless shell,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
chromium-l10n,installed,none-detected,web-app,web browser - language packs,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
chromium-sandbox,installed,none-detected,web-app,web browser - setuid security sandbox for chromium,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
chromium-shell,installable-missing,none-detected,web-app,web browser - minimal shell,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
cutycapt,installed,kali-reporting-tools,web-app,utility to capture WebKit's rendering of a web page,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
davtest,installed,kali-web-vulnerability-scanning,web-app,Testing tool for WebDAV servers,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
dirsearch,installed,none-detected,web-app,Web path scanner,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
dvwa,installable-missing,none-detected,web-app,Damn Vulnerable Web Application,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
eyewitness,installed,none-detected,web-app,Rapid web application triage tool,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
firefox-developer-edition-en-us-kbx,installable-missing,none-detected,web-app,Mozilla Firefox web browser - Developer Edition - en-US,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
godoh,installed,none-detected,web-app,DNS-over-HTTPS Command & Control Proof of Concept,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
golang-github-ne0nd0g-merlin-dev,installable-missing,none-detected,web-app,Cross-platform post-exploitation HTTP/2 Command & Control server (source),"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
goldeneye,installed,none-detected,web-app,HTTP DoS test tool,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
goshs,installed,none-detected,web-app,SimpleHTTPServer written in Go,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
gospider,installed,none-detected,web-app,Fast web spider written in Go,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
gowitness,installed,none-detected,web-app,Web screenshot utility using Chrome Headless,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
hakrawler,installed,none-detected,web-app,"Web crawler designed for easy, quick discovery of endpoints and assets","Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
hoaxshell,installed,none-detected,web-app,Windows reverse shell payload generator and handler that abuses http(s),"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
httprint,installed,none-detected,web-app,Web server fingerprinting tool,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
httprobe,installed,none-detected,web-app,Take a list of domains and probe for working HTTP and HTTPS servers,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
httpx-toolkit,installed,none-detected,web-app,fast and multi-purpose HTTP toolkit,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
httrack,installed,none-detected,web-app,Copy websites to your computer (Offline browser),"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
httrack-doc,installable-missing,none-detected,web-app,Httrack website copier additional documentation,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
humble,installed,none-detected,web-app,HTTP Headers Analyzer,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
juice-shop,unresolved-on-snapshot,none-detected,web-app,insecure web application,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
kali-tools-web,installed,none-detected,web-app,Kali's webapp assessment tools menu,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
laudanum,installed,kali-persistence,web-app,Collection of injectable web files,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
lbd,installed,kali-web-scanning,web-app,Load balancer detector,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
libapache2-mod-svn,installable-missing,none-detected,web-app,Apache Subversion server modules for Apache httpd,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
libhttrack-dev,installable-missing,none-detected,web-app,Httrack website copier includes and development files,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
libhttrack2,installed,none-detected,web-app,Httrack website copier library,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
merlin-agent,installed,none-detected,web-app,Cross-platform post-exploitation HTTP/2 Command & Control agent,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
merlin-server,installed,none-detected,web-app,Cross-platform post-exploitation HTTP/2 Command & Control server,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
mitmproxy,installed,kali-collection,web-app,SSL-capable man-in-the-middle HTTP proxy,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
nikto,installed,kali-web-vulnerability-scanning,web-app,web server security scanner,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
offsec-awae,installable-missing,none-detected,web-app,Resources for OffSec's AWAE/WEB-300,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
offsec-awae-python2,installable-missing,none-detected,web-app,Python 2 resources for OffSec's AWAE/WEB-300,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
owasp-mantra-ff,installed,none-detected,web-app,Web application security testing framework built on top of Firefox,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
paros,installed,none-detected,web-app,Web application proxy,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
proxify,installed,none-detected,web-app,"Swiss Army knife Proxy tool for HTTP/HTTPS traffic capture, manipulation","Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
proxychains4,installed,kali-protocol-tunneling,web-app,redirect connections through socks/http proxies (proxychains-ng),"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
proxytrack,installable-missing,none-detected,web-app,Build HTTP Caches using archived websites copied by HTTrack,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
proxytunnel,installed,kali-protocol-tunneling,web-app,Help SSH and other protocols through HTTP(S) proxies,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
python-requests-doc,installable-missing,none-detected,web-app,elegant and simple HTTP library for Python (Documentation),"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
python-wsgidav-doc,installable-missing,none-detected,web-app,generic and extendable WebDAV server (common documentation),"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
python3-requests,installed,none-detected,web-app,"elegant and simple HTTP library for Python3, built for human beings","Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
python3-wsgidav,installed,none-detected,web-app,generic and extendable WebDAV server (Python 3),"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
raven,installed,none-detected,web-app,Python tool that extends the capabilities of the http.server Python module,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
redsocks,installed,none-detected,web-app,arbitrary TCP connection redirector to a SOCKS or HTTPS proxy server,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
siege,installed,none-detected,web-app,HTTP regression testing and benchmarking utility,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
slowhttptest,installed,none-detected,web-app,application layer Denial of Service attacks simulation tool,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
sqlmap,installed,kali-initial-access,web-app,automatic SQL injection tool,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
tinja,installed,none-detected,web-app,CLI tool for testing web pages for template injection,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
tlssled,installed,none-detected,web-app,Evaluates the security of a target SSL/TLS (HTTPS) server,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
wafw00f,installed,kali-network-security-appliances,web-app,identify and fingerprint Web Application Firewall products,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
wapiti,installed,kali-identify;kali-web-vulnerability-scanning,web-app,web application vulnerability scanner,"Use when testing HTTP/HTTPS applications, APIs, middleware, and parameter handling for exposure, logic flaws, and weak configurations.","Model attacker workflows against input handling, auth boundaries, and session logic to find exploitable web attack paths.","Verify secure defaults, detect vulnerable routes early, and confirm remediation effectiveness with repeatable test evidence.","Profile web behavior, endpoint contracts, and request/response flows for QA, troubleshooting, and architecture understanding."
